# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.831 us    |  kthread_should_stop();
 1)   0.260 us    |    fill_contig_page_info();
 1)   0.601 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.271 us    |    fill_contig_page_info();
 1)   0.661 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.310 us    |    fill_contig_page_info();
 1)   0.682 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)   0.160 us    |  kthread_should_stop();
 1)   0.171 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.171 us    |    _raw_spin_lock_irqsave();
 1)   0.190 us    |    _raw_spin_unlock_irqrestore();
 1)   0.902 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.200 us    |      _raw_spin_lock_irqsave();
 1)   0.541 us    |    }
 1)   0.180 us    |    detach_if_pending();
 1)   0.181 us    |    get_nohz_timer_target();
 1)   0.181 us    |    calc_wheel_index();
 1)   0.291 us    |    enqueue_timer();
 1)   0.200 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.170 us    |        rcu_qs();
 1)   0.501 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.160 us    |        _raw_spin_lock();
 1)   0.501 us    |      }
 1)   0.210 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.181 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.231 us    |              rcu_read_unlock_strict();
 1)   0.601 us    |            }
 1)   0.171 us    |            rcu_read_unlock_strict();
 1)   2.094 us    |          }
 1)   0.261 us    |          __update_load_avg_se();
 1)   0.241 us    |          __update_load_avg_cfs_rq();
 1)   0.171 us    |          clear_buddies();
 1)   0.190 us    |          update_cfs_group();
 1)   0.190 us    |          update_min_vruntime();
 1)   5.400 us    |        }
 1)   0.170 us    |        hrtick_update();
 1)   6.161 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.180 us    |            __msecs_to_jiffies();
 1)   0.171 us    |            rcu_read_unlock_strict();
 1)   0.922 us    |          }
 1)   1.282 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.191 us    |          put_prev_entity();
 1)   0.531 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.171 us    |              rcu_read_unlock_strict();
 1)   0.551 us    |            }
 1)   0.171 us    |            queue_core_balance();
 1)   1.352 us    |          }
 1)   1.713 us    |        }
 1)   4.328 us    |      }
 1)               |      psi_task_switch() {
 1)   0.170 us    |        psi_flags_change();
 1)   0.181 us    |        iterate_groups();
 1)   0.351 us    |        psi_group_change();
 1)   0.180 us    |        iterate_groups();
 1)   1.814 us    |      }
 1)   0.631 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 1)   2.084 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.251 us    |        raw_spin_rq_unlock();
 1)   1.022 us    |      }
 1) @ 511965.0 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.170 us    |        _raw_spin_lock_irqsave();
 1)   0.571 us    |      }
 1)   0.191 us    |      detach_if_pending();
 1)   0.200 us    |      _raw_spin_unlock_irqrestore();
 1)   1.684 us    |    }
 1) @ 511970.3 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.191 us    |    _raw_spin_unlock_irqrestore();
 1)   0.912 us    |  }
 1)   0.180 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.191 us    |    _raw_spin_unlock_irqrestore();
 1)   0.862 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.290 us    |    fill_contig_page_info();
 1)   0.661 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.230 us    |    fill_contig_page_info();
 1)   0.591 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.260 us    |    fill_contig_page_info();
 1)   0.601 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.271 us    |    fill_contig_page_info();
 1)   0.611 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.200 us    |    fill_contig_page_info();
 1)   0.541 us    |  }
 1)   0.171 us    |  kthread_should_stop();
 1)   0.170 us    |  kthread_should_stop();
 1)   0.170 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.171 us    |    _raw_spin_lock_irqsave();
 1)   0.181 us    |    _raw_spin_unlock_irqrestore();
 1)   0.892 us    |  }
 1)   0.160 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.240 us    |      _raw_spin_lock_irqsave();
 1)   1.273 us    |    }
 1)   0.220 us    |    detach_if_pending();
 1)   0.180 us    |    get_nohz_timer_target();
 1)   0.201 us    |    calc_wheel_index();
 1)   0.180 us    |    enqueue_timer();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.171 us    |        rcu_qs();
 1)   0.501 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.160 us    |        _raw_spin_lock();
 1)   0.501 us    |      }
 1)   0.220 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.180 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.180 us    |              rcu_read_unlock_strict();
 1)   0.541 us    |            }
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   1.924 us    |          }
 1)   0.221 us    |          __update_load_avg_se();
 1)   0.200 us    |          __update_load_avg_cfs_rq();
 1)   0.170 us    |          clear_buddies();
 1)   0.180 us    |          update_cfs_group();
 1)   0.191 us    |          update_min_vruntime();
 1)   4.178 us    |        }
 1)   0.181 us    |        hrtick_update();
 1)   4.939 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.171 us    |            __msecs_to_jiffies();
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   0.912 us    |          }
 1)   1.282 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.201 us    |          put_prev_entity();
 1)   0.571 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.180 us    |              available_idle_cpu();
 1)   0.170 us    |              rcu_read_unlock_strict();
 1)   1.052 us    |            }
 1)   0.170 us    |            queue_core_balance();
 1)   1.933 us    |          }
 1)   2.285 us    |        }
 1)   5.210 us    |      }
 1)               |      psi_task_switch() {
 1)   0.170 us    |        psi_flags_change();
 1)   0.190 us    |        iterate_groups();
 1)   0.381 us    |        psi_group_change();
 1)   0.191 us    |        iterate_groups();
 1)   1.834 us    |      }
 1)   0.661 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>   kswapd0-92  
 ------------------------------------------

 1)   2.244 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)   kswapd0-92   =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.180 us    |        raw_spin_rq_unlock();
 1)   1.032 us    |      }
 1) @ 569994.0 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.170 us    |        _raw_spin_lock_irqsave();
 1)   0.591 us    |      }
 1)   0.190 us    |      detach_if_pending();
 1)   0.191 us    |      _raw_spin_unlock_irqrestore();
 1)   1.713 us    |    }
 1) @ 569999.7 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.171 us    |    _raw_spin_lock_irqsave();
 1)   0.181 us    |    _raw_spin_unlock_irqrestore();
 1)   0.902 us    |  }
 1)   0.191 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.171 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   1.683 us    |  }
 1)   0.210 us    |  kthread_should_stop();
 1)   0.361 us    |  kthread_should_stop();
 1)   0.220 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.891 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.180 us    |      _raw_spin_lock_irqsave();
 1)   0.521 us    |    }
 1)   0.170 us    |    detach_if_pending();
 1)   0.180 us    |    get_nohz_timer_target();
 1)   0.191 us    |    calc_wheel_index();
 1)   0.170 us    |    enqueue_timer();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.171 us    |        rcu_qs();
 1)   0.511 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.170 us    |        _raw_spin_lock();
 1)   0.501 us    |      }
 1)   0.220 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.170 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.170 us    |              rcu_read_unlock_strict();
 1)   0.501 us    |            }
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   1.824 us    |          }
 1)   0.210 us    |          __update_load_avg_se();
 1)   0.180 us    |          __update_load_avg_cfs_rq();
 1)   0.181 us    |          clear_buddies();
 1)   0.170 us    |          update_cfs_group();
 1)   0.210 us    |          update_min_vruntime();
 1)   3.997 us    |        }
 1)   0.170 us    |        hrtick_update();
 1)   4.749 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)   0.210 us    |          pick_next_entity();
 1)   0.191 us    |          put_prev_entity();
 1)               |          set_next_entity() {
 1)   0.171 us    |            clear_buddies();
 1)   0.190 us    |            __update_load_avg_se();
 1)   0.170 us    |            __update_load_avg_cfs_rq();
 1)   1.242 us    |          }
 1)   2.345 us    |        }
 1)   2.675 us    |      }
 1)               |      psi_task_switch() {
 1)   0.170 us    |        psi_flags_change();
 1)   0.181 us    |        iterate_groups();
 1)   0.290 us    |        psi_group_change();
 1)   0.180 us    |        iterate_groups();
 1)   0.171 us    |        psi_flags_change();
 1)   0.170 us    |        iterate_groups();
 1)   0.340 us    |        psi_group_change();
 1)   0.180 us    |        iterate_groups();
 1)   3.266 us    |      }
 1)   0.881 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 1)   2.315 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.191 us    |        raw_spin_rq_unlock();
 1)   0.972 us    |      }
 1) @ 519711.6 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.170 us    |        _raw_spin_lock_irqsave();
 1)   0.561 us    |      }
 1)   0.281 us    |      detach_if_pending();
 1)   0.190 us    |      _raw_spin_unlock_irqrestore();
 1)   2.585 us    |    }
 1) @ 519717.4 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.220 us    |    _raw_spin_lock_irqsave();
 1)   0.191 us    |    _raw_spin_unlock_irqrestore();
 1)   0.952 us    |  }
 1)   0.180 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.191 us    |    _raw_spin_unlock_irqrestore();
 1)   0.872 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.311 us    |    fill_contig_page_info();
 1)   0.761 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.311 us    |    fill_contig_page_info();
 1)   0.651 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.461 us    |    fill_contig_page_info();
 1)   0.802 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.281 us    |    fill_contig_page_info();
 1)   0.611 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.210 us    |    fill_contig_page_info();
 1)   0.541 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)   0.170 us    |  kthread_should_stop();
 1)   0.171 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.171 us    |    _raw_spin_lock_irqsave();
 1)   0.190 us    |    _raw_spin_unlock_irqrestore();
 1)   0.912 us    |  }
 1)   0.160 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.171 us    |      _raw_spin_lock_irqsave();
 1)   0.521 us    |    }
 1)   0.181 us    |    detach_if_pending();
 1)   0.181 us    |    get_nohz_timer_target();
 1)   0.191 us    |    calc_wheel_index();
 1)   0.270 us    |    enqueue_timer();
 1)   0.170 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.171 us    |        rcu_qs();
 1)   0.501 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.170 us    |        _raw_spin_lock();
 1)   0.491 us    |      }
 1)   0.221 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.180 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.180 us    |              rcu_read_unlock_strict();
 1)   0.571 us    |            }
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   1.954 us    |          }
 1)   0.201 us    |          __update_load_avg_se();
 1)   0.200 us    |          __update_load_avg_cfs_rq();
 1)   0.170 us    |          clear_buddies();
 1)   0.181 us    |          update_cfs_group();
 1)   0.190 us    |          update_min_vruntime();
 1)   4.158 us    |        }
 1)   0.170 us    |        hrtick_update();
 1)   4.909 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.181 us    |            __msecs_to_jiffies();
 1)   0.160 us    |            rcu_read_unlock_strict();
 1)   0.942 us    |          }
 1)   1.333 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.190 us    |          put_prev_entity();
 1)   0.541 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.181 us    |              available_idle_cpu();
 1)   0.170 us    |              rcu_read_unlock_strict();
 1)   1.372 us    |            }
 1)   0.200 us    |            queue_core_balance();
 1)   2.194 us    |          }
 1)   2.575 us    |        }
 1)   5.220 us    |      }
 1)               |      psi_task_switch() {
 1)   0.180 us    |        psi_flags_change();
 1)   0.181 us    |        iterate_groups();
 1)   0.341 us    |        psi_group_change();
 1)   0.180 us    |        iterate_groups();
 1)   1.914 us    |      }
 1)   0.631 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 1)   2.836 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.341 us    |        raw_spin_rq_unlock();
 1)   1.232 us    |      }
 1) @ 510277.1 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.181 us    |        _raw_spin_lock_irqsave();
 1)   0.551 us    |      }
 1)   0.201 us    |      detach_if_pending();
 1)   0.190 us    |      _raw_spin_unlock_irqrestore();
 1)   1.684 us    |    }
 1) @ 510282.4 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.521 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   1.222 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.861 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.311 us    |    fill_contig_page_info();
 1)   0.691 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.241 us    |    fill_contig_page_info();
 1)   0.601 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.260 us    |    fill_contig_page_info();
 1)   0.611 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.341 us    |    fill_contig_page_info();
 1)   0.711 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.190 us    |    fill_contig_page_info();
 1)   0.562 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)   0.170 us    |  kthread_should_stop();
 1)   0.180 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.181 us    |    _raw_spin_unlock_irqrestore();
 1)   0.892 us    |  }
 1)   0.171 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.170 us    |      _raw_spin_lock_irqsave();
 1)   0.511 us    |    }
 1)   0.180 us    |    detach_if_pending();
 1)   0.191 us    |    get_nohz_timer_target();
 1)   0.180 us    |    calc_wheel_index();
 1)   0.350 us    |    enqueue_timer();
 1)   0.170 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.170 us    |        rcu_qs();
 1)   0.491 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.171 us    |        _raw_spin_lock();
 1)   0.511 us    |      }
 1)   0.221 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.181 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.842 us    |              rcu_read_unlock_strict();
 1)   1.252 us    |            }
 1)   0.220 us    |            rcu_read_unlock_strict();
 1)   3.036 us    |          }
 1)   0.301 us    |          __update_load_avg_se();
 1)   0.241 us    |          __update_load_avg_cfs_rq();
 1)   0.170 us    |          clear_buddies();
 1)   0.180 us    |          update_cfs_group();
 1)   0.191 us    |          update_min_vruntime();
 1)   5.480 us    |        }
 1)   0.171 us    |        hrtick_update();
 1)   6.242 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.180 us    |            __msecs_to_jiffies();
 1)   0.160 us    |            rcu_read_unlock_strict();
 1)   0.912 us    |          }
 1)   1.272 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.190 us    |          put_prev_entity();
 1)   0.541 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.180 us    |              available_idle_cpu();
 1)   0.171 us    |              rcu_read_unlock_strict();
 1)   1.102 us    |            }
 1)   0.171 us    |            queue_core_balance();
 1)   1.954 us    |          }
 1)   2.304 us    |        }
 1)   4.900 us    |      }
 1)               |      psi_task_switch() {
 1)   0.181 us    |        psi_flags_change();
 1)   0.180 us    |        iterate_groups();
 1)   0.350 us    |        psi_group_change();
 1)   0.180 us    |        iterate_groups();
 1)   1.843 us    |      }
 1)   0.671 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 1)   2.485 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.261 us    |        raw_spin_rq_unlock();
 1)   1.242 us    |      }
 1) @ 511921.8 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.170 us    |        _raw_spin_lock_irqsave();
 1)   0.561 us    |      }
 1)   0.191 us    |      detach_if_pending();
 1)   0.200 us    |      _raw_spin_unlock_irqrestore();
 1)   1.844 us    |    }
 1) @ 511927.0 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.191 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.902 us    |  }
 1)   0.180 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.861 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.410 us    |    fill_contig_page_info();
 1)   0.862 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.250 us    |    fill_contig_page_info();
 1)   0.581 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.270 us    |    fill_contig_page_info();
 1)   0.631 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.501 us    |    fill_contig_page_info();
 1)   0.822 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.271 us    |    fill_contig_page_info();
 1)   0.631 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)   0.161 us    |  kthread_should_stop();
 1)   0.170 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.241 us    |    _raw_spin_unlock_irqrestore();
 1)   1.793 us    |  }
 1)   0.211 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.180 us    |      _raw_spin_lock_irqsave();
 1)   0.520 us    |    }
 1)   0.180 us    |    detach_if_pending();
 1)   0.190 us    |    get_nohz_timer_target();
 1)   0.190 us    |    calc_wheel_index();
 1)   0.281 us    |    enqueue_timer();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.170 us    |        rcu_qs();
 1)   0.511 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.161 us    |        _raw_spin_lock();
 1)   0.501 us    |      }
 1)   0.221 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.180 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.180 us    |              rcu_read_unlock_strict();
 1)   0.541 us    |            }
 1)   0.160 us    |            rcu_read_unlock_strict();
 1)   1.924 us    |          }
 1)   0.190 us    |          __update_load_avg_se();
 1)   0.200 us    |          __update_load_avg_cfs_rq();
 1)   0.171 us    |          clear_buddies();
 1)   0.181 us    |          update_cfs_group();
 1)   0.190 us    |          update_min_vruntime();
 1)   4.157 us    |        }
 1)   0.170 us    |        hrtick_update();
 1)   4.920 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.180 us    |            __msecs_to_jiffies();
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   0.911 us    |          }
 1)   1.293 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.190 us    |          put_prev_entity();
 1)   0.531 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.180 us    |              available_idle_cpu();
 1)   0.170 us    |              rcu_read_unlock_strict();
 1)   1.082 us    |            }
 1)   0.180 us    |            queue_core_balance();
 1)   1.873 us    |          }
 1)   2.215 us    |        }
 1)   4.829 us    |      }
 1)               |      psi_task_switch() {
 1)   0.170 us    |        psi_flags_change();
 1)   0.181 us    |        iterate_groups();
 1)   0.361 us    |        psi_group_change();
 1)   0.190 us    |        iterate_groups();
 1)   1.814 us    |      }
 1)   0.621 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 1)   2.024 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.281 us    |        raw_spin_rq_unlock();
 1)   0.932 us    |      }
 1) @ 511984.1 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.181 us    |        _raw_spin_lock_irqsave();
 1)   0.591 us    |      }
 1)   0.191 us    |      detach_if_pending();
 1)   0.190 us    |      _raw_spin_unlock_irqrestore();
 1)   1.724 us    |    }
 1) @ 511989.4 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.180 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.931 us    |  }
 1)   0.230 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.211 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.942 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.300 us    |    fill_contig_page_info();
 1)   0.702 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.231 us    |    fill_contig_page_info();
 1)   0.601 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.280 us    |    fill_contig_page_info();
 1)   0.631 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.291 us    |    fill_contig_page_info();
 1)   0.631 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.611 us    |    fill_contig_page_info();
 1)   0.971 us    |  }
 1)   0.180 us    |  kthread_should_stop();
 1)   0.200 us    |  kthread_should_stop();
 1)   0.171 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.190 us    |    _raw_spin_unlock_irqrestore();
 1)   0.902 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.170 us    |      _raw_spin_lock_irqsave();
 1)   0.521 us    |    }
 1)   0.181 us    |    detach_if_pending();
 1)   0.180 us    |    get_nohz_timer_target();
 1)   0.180 us    |    calc_wheel_index();
 1)   0.181 us    |    enqueue_timer();
 1)   0.170 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.170 us    |        rcu_qs();
 1)   0.501 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.170 us    |        _raw_spin_lock();
 1)   0.501 us    |      }
 1)   0.220 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.181 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.181 us    |              rcu_read_unlock_strict();
 1)   0.531 us    |            }
 1)   0.171 us    |            rcu_read_unlock_strict();
 1)   1.923 us    |          }
 1)   0.190 us    |          __update_load_avg_se();
 1)   0.201 us    |          __update_load_avg_cfs_rq();
 1)   0.170 us    |          clear_buddies();
 1)   0.180 us    |          update_cfs_group();
 1)   0.191 us    |          update_min_vruntime();
 1)   4.148 us    |        }
 1)   0.171 us    |        hrtick_update();
 1)   4.909 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.170 us    |            __msecs_to_jiffies();
 1)   0.171 us    |            rcu_read_unlock_strict();
 1)   0.912 us    |          }
 1)   1.282 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.190 us    |          put_prev_entity();
 1)   0.541 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.180 us    |              available_idle_cpu();
 1)   0.161 us    |              rcu_read_unlock_strict();
 1)   1.072 us    |            }
 1)   0.171 us    |            queue_core_balance();
 1)   1.874 us    |          }
 1)   2.224 us    |        }
 1)   4.850 us    |      }
